"Fecha","Estación","Clorofila_a_(lab_µg) (µg/L)","Coliformes Termotolerantes (Fecales) (Membrana Filtrante) (ufc/100ml)","Conductividad (µS/cm)","Enterococos (Sustrato Definido - Enterolet®) (NMP/100mL)","Escherichia coli (Memabrana Filtrante) (ufc/100ml)","Escherichia coli (Sustrato Definido - Colilert®) (NMP/100mL)","Floración Algal (sin unid)","Oxigeno disuelto (mg/L)","Potencial de hidrogeno (pH) (sin unid)","Salinidad (psu)","Standard value a (NO APLICA)","standard value b (NO APLICA)","Temperatura (ºC)","Transparencia (cm)","Turbidez (NTU)"
"2021-01-20 08:35:00","02LDM","","210","103.8","","","","0E-9","5.82","6.98","","","","25","",""
"2021-01-20 08:50:00","01SLC","","340","350","","","","0E-9","5.42","6.68","","","","25.7","",""
"2021-01-25 08:35:00","01AC","","560","","","","","0E-9","4.49","7.15","","","","27.6","","2.1"
"2021-01-25 09:05:00","06SF","","365","","","","","0E-9","4.67","7.46","","","","24.7","","4.38"
"2021-01-25 09:35:00","03LP","","675","","","","","0E-9","4.93","7.12","","","","25.7","","1.89"
"2021-01-25 10:05:00","04SF","","115","","","","","0E-9","4.89","7.14","","","","27.2","",""
"2021-01-25 11:50:00","02SL","","770","","","","","0E-9","4.91","7.41","","","","28.7","","4.59"
"2021-01-27 08:45:00","02LDM","","70","106.3","","","","0E-9","5.57","6.7","","","","27.4","",""
"2021-01-27 09:00:00","01SLC","","710","408","","","","0E-9","6.01","7.35","","","","28.6","",""
"2021-02-02 08:15:00","01AC","","570","","","","","0E-9","5.6","7.16","","","","22","","2.08"
"2021-02-02 08:55:00","06SF","","950","","","","","0E-9","4.95","7.2","","","","23.6","","1.28"
"2021-02-02 09:15:00","05SF","",">2000","","","","","0E-9","4.75","7.43","","","","19.8","","3.06"
"2021-02-02 09:40:00","04SF","","1020","","","","","0E-9","4.85","7.32","","","","20.2","","1.31"
"2021-02-02 10:45:00","03LP","","910","","","","","0E-9","4.82","7.42","","","","25.2","","1.73"
"2021-02-02 12:30:00","02SL","",">2000","","","","","0E-9","5.75","7.5","","","","21.4","","21"
"2021-02-10 08:10:00","01AC","","4500","","","","","0E-9","4.9","7.2","","","","20","","13.5"
"2021-02-10 08:45:00","06SF","","1120","","","","","0E-9","4.75","7.35","","","","18.5","","10.9"
"2021-02-10 09:00:00","05SF","","270","","","","","0E-9","5.1","7.12","","","","19.4","","12.9"
"2021-02-10 09:15:00","04SF","","440","","","","","0E-9","4.95","6.85","","","","18","","12.9"
"2021-02-10 09:45:00","03LP","","1540","","","","","0E-9","5.5","6.95","","","","19.4","","8.62"
"2021-02-10 12:00:00","02SL","","1730","","","","","0E-9","5.6","7.41","","","","19.8","","17.7"
"2021-02-11 09:00:00","01SLC","","340","245","","","","0E-9","5.9","8.15","","","","24.5","",""
"2021-02-11 09:10:00","02LDM","","200","104.2","","","","0E-9","7.13","7.89","","","","24.4","",""
