"Fecha","Estación","Aceites y grasas (mg/L)","Alacloro (µg/L)","Aldrin (µg/L)","Alfa cipermetrina (µg/L)","AMPA (µg/L)","Atrazina (µg/L)","Atrazina desetil (µg/L)","Atrazina desisopropil (µg/L)","Azoxiestrobina (µg/L)","Clordano Cis (µg/L)","Clordano Trans (µg/L)","Clorofila_a_(lab_µg) (µg/L)","Clorpirifos (µg/L)","Clorpirifos Metil (µg/L)","Coliformes Termotolerantes (Fecales) (Membrana Filtrante) (ufc/100ml)","Color (unidad de color)","Compuestos Halogenados adsorbibles (AOX) (µg/L)","Conductividad (µS/cm)","Cromo VI (mg/L)","DBO5 (mg O2/L)","Demanda química de oxigeno (DQO) (mg O2/L)","Diazinon (µg/L)","Dieldrin (µg/L)","Diuron (µg/L)","Endosulfan alfa (µg/L)","Endosulfan beta (µg/L)","Endosulfan sulfato (µg/L)","Endrin (µg/L)","Escherichia coli (Memabrana Filtrante) (ufc/100ml)","Escherichia coli (Sustrato Definido - Colilert®) (NMP/100mL)","Etil Paration (µg/L)","Etion (µg/L)","Feofitina a (µg/L)","Fipronil (µg/L)","Floración Algal (sin unid)","Fluroxipir meptil (µg/L)","Fosfato (ortofosfato) (µg PO4-P/L)","Fósforo total (µg P/L)","Glifosato (µg/L)","Heptacloro (µg/L)","Heptacloro Epoxido (µg/L)","Hexaclorobenceno (µg/L)","Ion Nitrito (mg NO2-N/L)","Lindano (µg/L)","Malathion (µg/L)","Mercurio total (mg/L)","Metil Paration (µg/L)","Metoxicloro (µg/L)","Mirex (µg/L)","Nitrato (mg NO3-N/L)","Nitrógeno Amoniacal (amonio) (mg NH4-N/L)","Nitrógeno total (mg N/L)","o,p' DDD (µg/L)","o,p' DDE (µg/L)","o,p' DDT (µg/L)","Oxigeno disuelto (mg/L)","Potencial de hidrogeno (pH) (sin unid)","p,p' DDD (µg/L)","p,p' DDE (µg/L)","p,p' DDT (µg/L)","Profundidad_Sitio (m)","Saturación de oxígeno (%)","Simazina (µg/L)","Sólidos suspendidos totales (mg/L)","Sólidos totales (mg/L)","Temperatura (ºC)","Transparencia (cm)","Trifloxiestrobina (µg/L)","Trifluralina (µg/L)","Turbidez (NTU)"
"2011-03-17 12:30:00","SL03","","","","","","","","","","","","","","","","28","","436.2","","","","","","","","","","","","","","","","","","","","135","","","","","0.014","","","","","","","0.09","0.05","","","","","6.93","7.72","","","","","","","","","21.4","","","","4.5"
"2011-03-17 13:20:00","SL04","","","","","","","","","","","","","","","","25","","524.1","","","","","","","","","","","","","","","","","","","","258","","","","","0.002","","","","","","","0.09","0.04","","","","","6.67","7.89","","","","","","","","","22.1","","","","4.2"
"2011-03-17 13:45:00","SL05","","","","","","","","","","","","","","","","35","","388.8","","","","","","","","","","","","","","","","","","","","183","","","","","0.018","","","","","","","0.15","0.04","","","","","5.3","7.58","","","","","","","","","21.8","","","","5.5"
"2011-03-22 09:41:00","CG01","","","","","","","","","","","","13.6","","","","","","1192","","","","","","","","","","","","","","","0.05","","","","","649","","","","","0.006","","","","","","","0.09","0.071","","","","","3.39","7.52","","","","","","","","","20.7","","","","10"
"2011-03-22 10:30:00","CG03","","","","","","","","","","","","0.3","","","","","","268.2","","","","","","","","","","","","","","","0.05","","","","","12900","","","","","0.006","","","","","","","0.31","0.01","","","","","7.83","7.71","","","","","","","","","21.2","","","","110"
"2011-03-22 10:46:00","CA02","","","","","","","","","","","","","","","","500","","1842","","","","","","","","","","","","","","","","","","","","612","","","","","2400","","","","","","","1.24","26","","","","","2.06","7.69","","","","","","","","","20.1","","","","30"
"2011-03-22 11:00:00","CA01","","","","","","","","","","","","","","","","420","","973","","","","","","","","","","","","","","","","","","","","593","","","","","0.059","","","","","","","0.2","0.039","","","","","1.4","7.46","","","","","","","","","22","","","","29"
"2011-03-22 11:32:00","CA04","","","","","","","","","","","","","","","","250","","354.2","","","","","","","","","","","","","","","","","","","","483","","","","","0.01","","","","","","","0.34","0.01","","","","","2.12","6.86","","","","","","","","","20.1","","","","99"
"2011-05-03 10:05:00","CO01","12","","","","","","","","","","","","","","","75","","835","0.01","2.5","","","","","","","","","","","","","","","","","","286","","","","","0.039","","","","","","","0.44","0.52","","","","","6.22","7.47","","","","","","","","","15.3","","","","14"
"2011-05-03 11:30:00","SJ04","","","","","","","","","","","","","","","","140","","588","","1","","","","","","","","","","","","","","","","","","302","","","","","0.039","","","","","","","0.51","0.038","","","","","5.86","7.4","","","","","","","","","15.5","","","","22"
"2011-05-03 11:45:00","SL06","","","","","","","","","","","","","","","","100","","1552","","1","","","","","","","","","","","","","","","","","","345","","","","","0.039","","","","","","","0.46","0.035","","","","","6.57","7.97","","","","","","","","","12.3","","","","20"
"2011-05-03 12:45:00","SJ03","","","","","","","","","","","","","","","","150","","369.2","","2.2","","","","","","","","","","","","","","","","","","370","","","","","0.039","","","","","","","0.64","0.029","","","","","6.37","7.49","","","","","","","","","14.6","","","","34"
"2011-05-03 13:15:00","SJ05","5","","","","","","","","","","","","","","","130","","4782","0.01","1","","","","","","","","","","","","","","","","","","609","","","","","0.039","","","","","","","15","0.01","","","","","5.4","6.83","","","","","","","","","14.2","","","","18"
"2011-05-03 14:02:00","SJ02","","","","","","","","","","","","","","","","200","","243","","1","","","","","","","","","","","","","","","","","","148","","","","","0.1","","","","","","","0.15","0.01","","","","","8.11","7.38","","","","","","","","","14.1","","","","25"
"2011-05-03 16:00:00","SJ01","","","","","","","","","","","","","","","","300","","200.6","","3","","","","","","","","","","","","","","","","","","247","","","","","0.039","","","","","","","0.22","0.02","","","","","5.96","6.96","","","","","","","","","12.9","","","","32"
"2011-05-04 10:10:00","SLC01","","","","","","","","","","","","","","","710","65","","266","","1","","","","","","","","","","","","","","","","","","56.1","","","","","0.039","","","","","","","0.035","0.01","","","","","7.63","7.5","","","","","","","","","12.8","","","","8.2"
"2011-05-04 11:00:00","SLC02","","","","","","","","","","","","","","","420","150","","226.2","","1","","","","","","","","","","","","","","","","","","289","","","","","0.039","","","","","","","0.35","0.022","","","","","7.42","7.43","","","","","","","","","11.9","","","","18"
"2011-05-04 11:25:00","PS01=SLC03","","","","","","","","","","","","0.3","","","200","150","","253.2","","2.3","","","","","","","","","","","","","0.05","","","","","319","","","","","0.039","","","","","","","0.98","0.14","","","","","5.52","7.37","","","","","","","","","13","","","","21"
"2011-05-04 12:39:00","PS04","","","","","","","","","","","","0.05","","","","","","272","","","","","","","","","","","","","","","0.05","","","","","277","","","","","0.039","","","","","","","0.64","0.01","","","","","7.88","7.63","","","","","","","","","17","","","","12"
"2011-05-04 12:55:00","PS03","","","","","","","","","","","","3","","","7000","","","276.1","","","","","","","","","","","","","","","0.05","","","","","278","","","","","0.039","","","","","","","0.69","0.01","","","","","8","7.73","","","","","","","","","16","","","","13"
"2011-05-04 13:07:00","PS02","","","","","","","","","","","","0.3","","","","","","295","","","","","","","","","","","","","","","0.05","","","","","273","","","","","0.039","","","","","","","0.86","0.043","","","","","7.87","7.61","","","","","","","","","13.5","","","","17"
"2011-05-05 11:30:00","SL01","","","","","","","","","","","","","","","","38","","110.2","","1","","","","","","","","","","","","","","","","","","181","","","","","0.039","","","","","","","0.52","0.06","","","","","7.76","7.78","","","","","","","","","14.7","","","","4.4"
